Address,Lot,Price,Image_Link,Link,Title,Lot Description
NCR,68,8508000,https://www.unionbankph.com/sites/default/files/2023-02/6.3.PNG,https://www.unionbankph.com/foreclosed-properties/3422,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium
NCR,104,26107600,https://www.unionbankph.com/sites/default/files/2024-02/2.PNG,https://www.unionbankph.com/foreclosed-properties/4286,"Brgy. Poblacion, Makati City, Metro Manila",Condominium
Laguna,135,1795500,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20151809.png,https://www.unionbankph.com/foreclosed-properties/5358,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,23,3634000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20091951.png,https://www.unionbankph.com/foreclosed-properties/5445,Brgy. Ugong Pasig City,Condominium
NCR,37,3015630,https://www.unionbankph.com/sites/default/files/2025-01/49.PNG,https://www.unionbankph.com/foreclosed-properties/5699,"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",Condominium
Misamis Oriental,107,4400000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_59.PNG,https://www.unionbankph.com/foreclosed-properties/6048,"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",House and Lot
Laguna,86,1505350,https://www.unionbankph.com/sites/default/files/2025-06/Capture_38.PNG,https://www.unionbankph.com/foreclosed-properties/6248,"Barangay Majada Calamba City, Province Of Laguna",House and Lot
Laguna,83,1491330,https://www.unionbankph.com/sites/default/files/2025-06/Capture_55.PNG,https://www.unionbankph.com/foreclosed-properties/6271,"Barangay Barandal, Calamba City, Province Of Laguna",House and Lot
Laguna,145,1781180,https://www.unionbankph.com/sites/default/files/2025-06/Capture_93.PNG,https://www.unionbankph.com/foreclosed-properties/6308,"Barangay Barandal, Calamba City, Province Of Laguna",House and Lot
Misamis Oriental,44,1736000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_18.PNG,https://www.unionbankph.com/foreclosed-properties/6668,"Subdivision, Gran Europa, Brgy. Lumbia, Cagayan De Oro City",House and Lot
Rizal,42,1463000,https://www.unionbankph.com/sites/default/files/2022-11/12.PNG,https://www.unionbankph.com/foreclosed-properties/3318,"Subdivision, Barangay Jibao-an, Pavia, Iloilo",Town House
Cavite,709,5670000,https://www.unionbankph.com/sites/default/files/2023-02/A_15.PNG,https://www.unionbankph.com/foreclosed-properties/3443,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot
Batangas,186,9114000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20090133.png,https://www.unionbankph.com/foreclosed-properties/5330,"Subdivision, Barangay Niuyugan, Laurel, Batangas",Condominium
Bulacan,66,2267100,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20155007.png,https://www.unionbankph.com/foreclosed-properties/5396,"Brgy. Kaypian San Jose Del Monte, Bulacan",House and Lot
Rizal,1,18378000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-21%20142958.png,https://www.unionbankph.com/foreclosed-properties/5560,"SUBDIVISION, BARANGAY SAN ROQUE (FORMERLY BARANGAY CALIQUE), ANTIPOLO CITY, PROVINCE OF RIZAL",Vacant Lot
Davao,80,2760000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_15.PNG,https://www.unionbankph.com/foreclosed-properties/5671,"BRGY. STO. NIÑO, TUGBOK DISTRICT, DAVAO CITY",House and Lot
Cavite,138,6031000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_58.PNG,https://www.unionbankph.com/foreclosed-properties/6047,"BRGY. BAGTAS, TANZA, CAVITE",House and Lot
