Address,Lot,Price,Image_Link,Link
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_46.PNG,https://www.unionbankph.com/foreclosed-properties/6257
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_68.PNG,https://www.unionbankph.com/foreclosed-properties/6278
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_83.PNG,https://www.unionbankph.com/foreclosed-properties/6298
"Las Piñas City, NCR",FA: 69 sqm,"Php 2,686,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_101.PNG,https://www.unionbankph.com/foreclosed-properties/6315
"City of Manila, NCR",FA: 54 sqm,"Php 4,812,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_27.PNG,https://www.unionbankph.com/foreclosed-properties/6677
"Laurel, Batangas",LA: 449 sqm,"Php 6,735,000",https://www.unionbankph.com/sites/default/files/2022-10/PTE%201.PNG,https://www.unionbankph.com/foreclosed-properties/3219
"Quezon City, NCR",FA: 150 sqm • LA: 50 sqm,"Php 7,020,000",https://www.unionbankph.com/sites/default/files/2023-02/3.1_1.PNG,https://www.unionbankph.com/foreclosed-properties/3428
"Quezon City, NCR",FA: 41 sqm,"Php 3,847,500",https://www.unionbankph.com/sites/default/files/2024-02/5.PNG,https://www.unionbankph.com/foreclosed-properties/4300
"San Pedro, Laguna",LA: 374 sqm,"Php 4,974,200",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154646.png,https://www.unionbankph.com/foreclosed-properties/5361
"Quezon City, NCR",FA: 29 sqm,"Php 3,625,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625_1.png,https://www.unionbankph.com/foreclosed-properties/5449
"Bulacan, Bulacan",FA: 45 sqm • LA: 48 sqm,"Php 2,700,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20142033.png,https://www.unionbankph.com/foreclosed-properties/5711
"LAS PINAS CITY, NCR",FA: 130 sqm • LA: 65 sqm,"Php 5,720,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6054
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_22.PNG,https://www.unionbankph.com/foreclosed-properties/6232
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_39.PNG,https://www.unionbankph.com/foreclosed-properties/6251
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_57.PNG,https://www.unionbankph.com/foreclosed-properties/6273
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_76.PNG,https://www.unionbankph.com/foreclosed-properties/6291
"Mandaluyong City, NCR",FA: 26 sqm,"Php 4,144,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/6676
"Santiago City, Isabela",FA: 170 sqm • LA: 100 sqm,"Php 1,690,000",https://www.unionbankph.com/sites/default/files/2022-10/ATTABAN%201.PNG,https://www.unionbankph.com/foreclosed-properties/3210
"Quezon City, NCR",FA: 63 sqm,"Php 8,661,000",https://www.unionbankph.com/sites/default/files/2023-02/7.PNG,https://www.unionbankph.com/foreclosed-properties/3423
"Quezon City, NCR",FA: 32 sqm,"Php 4,977,050",https://www.unionbankph.com/sites/default/files/2024-02/4.4.PNG,https://www.unionbankph.com/foreclosed-properties/4299
"San Pedro, Laguna",LA: 196 sqm,"Php 2,606,800",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154149.png,https://www.unionbankph.com/foreclosed-properties/5359
"Quezon City, NCR",FA: 27 sqm,"Php 3,186,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625.png,https://www.unionbankph.com/foreclosed-properties/5448
"BIÑAN, Laguna",LA: 617 sqm,"Php 11,020,300",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20140634.png,https://www.unionbankph.com/foreclosed-properties/5708
"Cagayan de Oro City, Misamis Oriental",FA: 118 sqm • LA: 99 sqm,"Php 4,413,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_61.PNG,https://www.unionbankph.com/foreclosed-properties/6050
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_21.PNG,https://www.unionbankph.com/foreclosed-properties/6231
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture1_36.PNG,https://www.unionbankph.com/foreclosed-properties/6250
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_56.PNG,https://www.unionbankph.com/foreclosed-properties/6272
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_75.PNG,https://www.unionbankph.com/foreclosed-properties/6290
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_94.PNG,https://www.unionbankph.com/foreclosed-properties/6309
"San Pablo City, Laguna",FA: 97 sqm • LA: 99 sqm,"Php 4,105,630",https://www.unionbankph.com/sites/default/files/2025-08/Capture_20.PNG,https://www.unionbankph.com/foreclosed-properties/6670
"Cabanatuan City, Nueva Ecija","LA: 2,250 sqm","Php 2,951,000",https://www.unionbankph.com/sites/default/files/2023-01/4.2_1.PNG,https://www.unionbankph.com/foreclosed-properties/3354
"Tanza, Cavite",LA: 615 sqm,"Php 4,919,000",https://www.unionbankph.com/sites/default/files/2023-02/A_17.PNG,https://www.unionbankph.com/foreclosed-properties/3447
"San Pedro, Laguna",LA: 212 sqm,"Php 2,819,600",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20103433.png,https://www.unionbankph.com/foreclosed-properties/5340
"Teresa, Rizal",FA: 43 sqm • LA: 62 sqm,"Php 1,722,400",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-13%20135811.png,https://www.unionbankph.com/foreclosed-properties/5403
"Davao City, Davao",FA: 375 sqm • LA: 330 sqm,"Php 12,667,000",https://www.unionbankph.com/sites/default/files/2025-01/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/5583
"Las Piñas, NCR",FA: 62 sqm • LA: 50 sqm,"Php 1,049,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_50.PNG,https://www.unionbankph.com/foreclosed-properties/6030
"Calamba City, Laguna",FA: 48 sqm • LA: 98 sqm,"Php 1,561,450",https://www.unionbankph.com/sites/default/files/2025-06/Capture_14.PNG,https://www.unionbankph.com/foreclosed-properties/6222
"Carmona, Cavite",FA: 95 sqm • LA: 169 sqm,"Php 6,149,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_9.PNG,https://www.unionbankph.com/foreclosed-properties/6215
"Calamba City, Laguna",FA: 48 sqm • LA: 103 sqm,"Php 1,584,830",https://www.unionbankph.com/sites/default/files/2025-06/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/6240
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_47.PNG,https://www.unionbankph.com/foreclosed-properties/6258
"Calamba City, Laguna",FA: 48 sqm • LA: 128 sqm,"Php 1,701,700",https://www.unionbankph.com/sites/default/files/2025-06/Capture_69.PNG,https://www.unionbankph.com/foreclosed-properties/6279
"Calamba City, Laguna",FA: 48 sqm • LA: 107 sqm,"Php 1,603,530",https://www.unionbankph.com/sites/default/files/2025-06/Capture_84.PNG,https://www.unionbankph.com/foreclosed-properties/6299
"Municipality Of San Pedro, Laguna",FA: 231 sqm • LA: 180 sqm,"Php 3,900,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_103.PNG,https://www.unionbankph.com/foreclosed-properties/6317
"City of Manila, NCR",FA: 45 sqm,"Php 5,014,240",https://www.unionbankph.com/sites/default/files/2025-08/Capture_29.PNG,https://www.unionbankph.com/foreclosed-properties/6678
"Imus City, Cavite",FA: 94 sqm • LA: 66 sqm,"Php 3,755,000",https://www.unionbankph.com/sites/default/files/2022-11/8.PNG,https://www.unionbankph.com/foreclosed-properties/3268
"Tanza, Cavite",LA: 845 sqm,"Php 6,758,000",https://www.unionbankph.com/sites/default/files/2023-02/A.PNG,https://www.unionbankph.com/foreclosed-properties/3432
"Taguig City, NCR",FA: 59 sqm,"Php 11,505,000",https://www.unionbankph.com/sites/default/files/2024-02/3_4.PNG,https://www.unionbankph.com/foreclosed-properties/4325
"San Pedro, Laguna",LA: 182 sqm,"Php 2,675,400",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20155251.png,https://www.unionbankph.com/foreclosed-properties/5363
"Quezon City, NCR",FA: 25 sqm,"Php 3,150,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20133543.png,https://www.unionbankph.com/foreclosed-properties/5454
"Makati City, NCR",FA: 32 sqm,"Php 3,549,660",https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-12%20170136.png,https://www.unionbankph.com/foreclosed-properties/5827
"GAPAN CITY, Nueva Ecija",FA: 46 sqm • LA: 60 sqm,"Php 2,990,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_70.PNG,https://www.unionbankph.com/foreclosed-properties/6059
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_23.PNG,https://www.unionbankph.com/foreclosed-properties/6234
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_42.PNG,https://www.unionbankph.com/foreclosed-properties/6253
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_58.PNG,https://www.unionbankph.com/foreclosed-properties/6274
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_78.PNG,https://www.unionbankph.com/foreclosed-properties/6293
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_97.PNG,https://www.unionbankph.com/foreclosed-properties/6311
"Mandaluyong City, NCR",FA: 32 sqm,"Php 4,799,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_23.PNG,https://www.unionbankph.com/foreclosed-properties/6673
"San Mateo, Rizal",LA: 280 sqm,"Php 8,400,000",https://www.unionbankph.com/sites/default/files/2023-01/3.1_4.PNG,https://www.unionbankph.com/foreclosed-properties/3369
"Quezon City, NCR",FA: 40 sqm,"Php 5,092,000",https://www.unionbankph.com/sites/default/files/2024-06/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/4822
"San Pedro, Laguna",LA: 289 sqm,"Php 6,012,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20161049.png,https://www.unionbankph.com/foreclosed-properties/5366
"Tanza, Cavite",FA: 127 sqm • LA: 138 sqm,"Php 5,561,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20134250.png,https://www.unionbankph.com/foreclosed-properties/5491
"Quezon City, NCR",FA: 62 sqm,"Php 7,775,000",https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20102901.png,https://www.unionbankph.com/foreclosed-properties/5835
"Calamba City, Laguna",FA: 48 sqm • LA: 104 sqm,"Php 1,589,500",https://www.unionbankph.com/sites/default/files/2025-06/Capture_6.PNG,https://www.unionbankph.com/foreclosed-properties/6212
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_29.PNG,https://www.unionbankph.com/foreclosed-properties/6238
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_45.PNG,https://www.unionbankph.com/foreclosed-properties/6256
"Calamba City, Misamis Oriental",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_67.PNG,https://www.unionbankph.com/foreclosed-properties/6277
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_82.PNG,https://www.unionbankph.com/foreclosed-properties/6297
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_100.PNG,https://www.unionbankph.com/foreclosed-properties/6314
"Mandaluyong City, NCR",FA: 26 sqm,"Php 4,144,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/6676
"Santiago City, Isabela",FA: 170 sqm • LA: 100 sqm,"Php 1,690,000",https://www.unionbankph.com/sites/default/files/2022-10/ATTABAN%201.PNG,https://www.unionbankph.com/foreclosed-properties/3210
"Quezon City, NCR",FA: 63 sqm,"Php 8,661,000",https://www.unionbankph.com/sites/default/files/2023-02/7.PNG,https://www.unionbankph.com/foreclosed-properties/3423
"Quezon City, NCR",FA: 32 sqm,"Php 4,977,050",https://www.unionbankph.com/sites/default/files/2024-02/4.4.PNG,https://www.unionbankph.com/foreclosed-properties/4299
"San Pedro, Laguna",LA: 196 sqm,"Php 2,606,800",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154149.png,https://www.unionbankph.com/foreclosed-properties/5359
