Address,Lot,Price,Image_Link,Link,Title,Lot Description,lat,long
NCR,62,8680000,https://www.unionbankph.com/sites/default/files/2022-11/4_10.PNG,https://www.unionbankph.com/foreclosed-properties/3306,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium,14.6083016,121.0824645
Cavite,716,5726000,https://www.unionbankph.com/sites/default/files/2023-02/A_13.PNG,https://www.unionbankph.com/foreclosed-properties/3442,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot,NULL,NULL
Batangas,219,10731000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20085723.png,https://www.unionbankph.com/foreclosed-properties/5329,"Subdivision, Barangay Niuyugan, Laurel, Batangas",Condominium,NULL,NULL
NCR,83,8162590,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20151556.png,https://www.unionbankph.com/foreclosed-properties/5394,"Subdivision, Barangay Ususan, Taguig City",House and Lot,NULL,NULL
Negros Occidental,132,5498000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20150214.png,https://www.unionbankph.com/foreclosed-properties/5512,"Subdivision, Barangay Candau-ay Dumaguete City, Negros Oriental",House and Lot,NULL,NULL
NCR,53,1138000,https://www.unionbankph.com/sites/default/files/2025-04/Capture.PNG,https://www.unionbankph.com/foreclosed-properties/5945,"Barangay Talon Tres, Las Piñas City, Metropolitan Manila",House and Lot,NULL,NULL
NCR,13,3034000,https://www.unionbankph.com/sites/default/files/2025-07/Capture_56.PNG,https://www.unionbankph.com/foreclosed-properties/6513,"Barangay Fairview, Quezon City, Metro Manila",Condominium,14.7229789,121.0632623
NCR,139,16602000,https://www.unionbankph.com/sites/default/files/2022-11/2.2_5.PNG,https://www.unionbankph.com/foreclosed-properties/3305,"Barangay San Antonio, Pasig City, Metro Manila",Condominium,14.5798518,121.0633359
Batangas,3,6749000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20084211_0.png,https://www.unionbankph.com/foreclosed-properties/5327,"Barangay Matipok, Calaca City, Batangas",House and Lot,NULL,NULL
NCR,6,4335000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_3.PNG,https://www.unionbankph.com/foreclosed-properties/5389,"Barangay Pulang Lupa Uno, Las Pinas City, Metro Manila",Condominium,14.4778798,120.9802936
